# jd	phase	mag	magdiff	activity
2454231.78794	0.32939	12.71382	0.0206438797205788	passive
2453459.84803	0.32949	12.71352	0.0202000304333776	passive
2455468.58712	0.33081	12.30661	-0.388620388714763	active
2453310.53619	0.33129	12.71071	0.0147796546662082	passive
2453428.86297	0.33135	12.71498	0.0189619662701048	passive
2453262.64643	0.33283	12.75894	0.0607456100719421	passive
2454744.54635	0.33287	12.42329	-0.274963561783272	active
2454648.76316	0.33465	12.72668	0.0257751664857118	passive
2453538.75257	0.33664	12.69948	-0.0044292626872835	passive
2452876.69559	0.33967	12.6318	-0.0767598796154072	passive
2455375.64464	0.3409	12.71789	0.00741789288812278	passive
2453586.67568	0.34694	12.70912	-0.0109209198879689	passive
2454279.73169	0.34701	12.51931	-0.200843380880189	active
2452845.73711	0.35096	12.68575	-0.04079849483443	passive
2452893.63236	0.35137	12.70861	-0.0186073743480826	passive
2453090.84738	0.3528	12.69821	-0.031346921610357	passive
2455375.68426	0.35496	12.73182	-0.00128856888746931	passive
2453231.71912	0.35519	12.72736	-0.006127896433469	passive
2453138.75296	0.35687	12.77871	0.0424454252176325	passive
2453279.62248	0.35847	12.73045	-0.00846770753580195	passive
2453682.50147	0.36028	12.81673	0.0748024951708395	passive
2453634.60988	0.36117	12.76463	0.02121983356251	passive
2454761.53177	0.36184	12.47019	-0.27433730662422	active
2453651.52328	0.36458	12.76568	0.0165775930396652	passive
2453603.63181	0.36551	12.8363	0.0856431889812583	passive
2453620.53834	0.36648	12.78007	0.0277915766719303	passive
2455296.83616	0.36784	12.77756	0.0230079505355292	passive
2453476.86635	0.37014	12.73317	-0.0252250311287039	passive
2454327.70653	0.37567	12.73831	-0.0292916493750024	passive
2453248.68088	0.37576	12.76059	-0.00716087766463325	passive
2453524.77797	0.37636	12.6873	-0.0814451320365723	passive
2454989.77736	0.37756	12.81543	0.0446995615438066	passive
2455068.66448	0.37853	12.83779	0.06545798884855	passive
2455375.75231	0.37911	12.81386	0.0405717619907673	passive
2455265.87794	0.37923	12.76456	-0.00892594356716359	passive
2455392.65986	0.38045	12.52631	-0.249183281110476	active
2455375.75944	0.38165	12.75684	-0.0206228489522111	passive
2454730.60389	0.384	12.7399	-0.0414052950490706	passive
2455375.76655	0.38417	12.78687	0.00528751798928973	passive
2455423.66178	0.38457	12.45022	-0.332014262013073	active
2452752.86104	0.38462	12.76968	-0.012635692381	passive
2454651.72394	0.38558	12.81074	0.026862682694837	passive
2455375.77366	0.38669	12.79775	0.0120714900141969	passive
2454296.74743	0.38675	12.61376	-0.172015733755563	active
2453169.83195	0.38835	12.76265	-0.0257130253753388	passive
2455375.78079	0.38922	12.7663	-0.0234654533880807	passive
2453107.85711	0.3904	12.77751	-0.0141524853814499	passive
2452879.67401	0.39686	12.80007	-0.00186672049791881	passive
2454361.57386	0.39687	12.81645	0.0144975290546601	passive
2455375.80291	0.39707	12.75652	-0.0457473753491069	passive
2455023.65716	0.40319	12.82942	0.017616858831131	passive
2454589.7931	0.40324	12.83961	0.0277297846790088	passive
2452927.58736	0.40369	12.7783	-0.0342732510373587	passive
2454634.88286	0.40784	12.83731	0.0184004737548324	passive
2454716.59231	0.41059	12.87296	0.0499087566031751	passive
2453141.73049	0.41374	12.79969	-0.0280464685257424	passive
2452865.64939	0.41882	12.80681	-0.0283422101036308	passive
2453282.6101	0.41893	12.82085	-0.0144607954981772	passive
2452462.7811	0.42081	12.69834	-0.139667676596677	active
2454234.86412	0.42128	12.81816	-0.0205178702716822	passive
2452738.87999	0.42205	12.82815	-0.011622317233309	passive
2454558.85752	0.42266	12.86857	0.027933791151078	passive
2454699.72386	0.42314	12.77507	-0.0662440261688779	passive
2455457.59337	0.42858	12.44969	-0.399179714638722	active
2453299.54583	0.43026	12.85169	0.00053790478585114	passive
2454330.67878	0.43067	12.84899	-0.00271510497759486	passive
2453110.78806	0.43074	12.78556	-0.0662393604820561	passive
2453589.73668	0.43344	12.85372	-0.00167784039999042	passive
2454575.80524	0.43825	12.87687	0.0152556173797258	passive
2454299.71021	0.43838	12.65002	-0.211758679085921	active
2453606.65539	0.43873	12.91026	0.0480400054574641	passive
2453251.676	0.43888	12.86368	0.00127132872504809	passive
2455347.74891	0.43931	12.91368	0.0507319926265755	passive
2455426.63577	0.44019	12.54487	-0.319174567723355	active
